ID	Artist	Title	Link	Origin	Not in use	Voice
	Charlie Puth ft. Selena Gomez	We Don't Talk Anymore	http://www.youtube.com/watch?v=IUmIIBeYr1I	Foreign		
	Chateau	Mlinar na Muri	https://www.youtube.com/watch?v=wSeFjEnjMGc	SLO		
	Chris Stapleton	Tennessee Whiskey	http://www.youtube.com/watch?v=DVxVXBpi7vc	Foreign		
	Christina Aguilera	Beautiful	http://www.youtube.com/watch?v=bkkkbniDtHA	Foreign		
	Christina Perri	A Thousand Years	http://www.youtube.com/watch?v=j1V33b2ZEIo	Foreign		
	Christina Perri	Human	http://www.youtube.com/watch?v=yqubSu9RbSM	Foreign		
	Clean Bandit ft. Sean Paul & Anne-Marie	Rockabye	http://www.youtube.com/watch?v=Gl78zFKbQbE	Foreign		
88	Clean Bandit ft. Zara Larsson	Symphony	http://www.youtube.com/watch?v=Azyv_umdqvk	Foreign		
89	Colbie Caillat	Bubbly	http://www.youtube.com/watch?v=X_fmt_y2AzM	Foreign		
90	Conan Gray	Heather	http://www.youtube.com/watch?v=WwUYq7kr9dU	Foreign		
91	Čudežna Polja	25 ur	https://www.youtube.com/watch?v=JkS_qJi-ZTk	SLO		
92	Čuki	Zobar	https://www.youtube.com/watch?v=l_V-ead68zM	SLO		
93	Čuki	Krokodilčki	https://www.youtube.com/watch?v=C24_drkqGPU	SLO		
94	Cyndi Lauper	Time After Time	http://www.youtube.com/watch?v=zmrme4ulxIY	Foreign	1	
95	Daleka obala	Mojoj lijepoj	https://www.youtube.com/watch?v=JbNXzoCr7FU	EX-YU		
96	Damjan Zih	Toni Ma Pa Lepo Kapo	https://www.youtube.com/watch?v=Oo3u91i65U8	SLO		
97	Dan D	Čas	https://www.youtube.com/watch?v=3aFkiTxiKW8	SLO		
98	Daniel Caesar ft. H.E.R.	Best Part	http://www.youtube.com/watch?v=otKYi0rYYx8	Foreign		
99	Daniel Popović	Džuli	https://www.youtube.com/watch?v=2-8BgcJFzGU	EX-YU		
100	Darko Rundek	Apocalypso	https://www.youtube.com/watch?v=z6ee0FcBJoI	EX-YU		
101	Darko Rundek, Rade Šerbedžija i Arsen Dedić	Na nešto me sjeća taj grad	https://www.youtube.com/watch?v=620NUNVHYQM	EX-YU		
102	David Guetta ft. Sia	Titanium	http://www.youtube.com/watch?v=32LB2DR_JM0	Foreign		
103	Demi Lovato	Stone Cold	http://www.youtube.com/watch?v=yFOxf2Y0H1g	Foreign		
104	Demi Lovato	Skyscraper	http://www.youtube.com/watch?v=PHfZnrXNyiA	Foreign		
105	Denis & Denis	Program tvog kompjutera	https://www.youtube.com/watch?v=J7luJcW8Jlo	EX-YU		
106	Denis & Denis	Ja sam lažljiva	https://www.youtube.com/watch?v=BPyQaHVzNto	EX-YU		
107	Descendants 3	Queen Of Mean	http://www.youtube.com/watch?v=BRWpIbuGa1M	Foreign		
108	Dino Dvornik	Ti si mi u mislima	https://www.youtube.com/watch?v=XSpV-k4lHPw	EX-YU		
109	DJ Snake ft. Justin Bieber	Let Me Love You	http://www.youtube.com/watch?v=VP5ODDPUpcE	Foreign		
110	Dolores	Vem Jokala Bom	https://www.youtube.com/watch?v=2ifjVF6sFqE	SLO		
111	Dominik Kozarič	Ljubi jo Nežno	https://www.youtube.com/watch?v=z4NTTcbqPaQ	SLO		
112	Don Juan	Dekleta pa taka	https://www.youtube.com/watch?v=ON4ATyXTI7s	SLO		
113	Don Mentony Band	Dobra Mrha	https://www.youtube.com/watch?v=aXdNsjE8Gjg	SLO		
114	Dove Cameron	If Only (from Disney Descendants)	http://www.youtube.com/watch?v=fTRa0BuPlwA	Foreign		
115	Dua Lipa	New Rules	http://www.youtube.com/watch?v=TsEYfkT4eF8	Foreign		
116	Dua Lipa	Levitating	http://www.youtube.com/watch?v=nK9hD9_SAdU	Foreign		
117	Duncan Laurence	Arcade	http://www.youtube.com/watch?v=19Kju46x324	Foreign		
118	Ed Sheeran	Perfect	http://www.youtube.com/watch?v=sPMA1tqWuf4	Foreign		
119	Ed Sheeran	Shape Of You	http://www.youtube.com/watch?v=o71_MatpYV0	Foreign		
120	Ed Sheeran	Photograph	http://www.youtube.com/watch?v=XpXe2mXmhp0	Foreign		
121	Ed Sheeran	Thinking Out Loud	http://www.youtube.com/watch?v=Dd9W3PthynU	Foreign		
122	Ed Sheeran	The A Team	http://www.youtube.com/watch?v=t4ePY7LqFV4	Foreign		
123	EKV	Par godina za nas	https://www.youtube.com/watch?v=zp8ixBJahDY	EX-YU		
124	EKV	Budi sam na ulici	https://www.youtube.com/watch?v=AaEF4aDTYzs	EX-YU		
125	EKV	Krug	https://www.youtube.com/watch?v=PPPMyWKgKGs	EX-YU		
126	Elda Viler	Ti si Moja Ljubezen	https://www.youtube.com/watch?v=Zf0qNIdf0Ko	SLO		
127	Ella	Iza ponoći	https://www.youtube.com/watch?v=CuqkR4EZ4O8	EX-YU		
128	Elle King	Ex's & Oh's	http://www.youtube.com/watch?v=odO7rH5vmaI	Foreign		
129	Ellie Goulding	Love Me Like You Do	http://www.youtube.com/watch?v=tW0UjwMOQz8	Foreign		
130	Elvis Presley	Can't Help Falling In Love	http://www.youtube.com/watch?v=gd4mB-zUcO8	Foreign		
131	Emeli Sandé	Read All About It Pt. III	http://www.youtube.com/watch?v=KDbafD4FQRk	Foreign		
132	En Face	Debeli	https://www.youtube.com/watch?v=N2FFukOTBOE	EX-YU		
133	Eric Clapton	Wonderful Tonight	http://www.youtube.com/watch?v=WDXiPavQjNg	Foreign		
134	ET	Tek je 12 sati	https://www.youtube.com/watch?v=Ws9vIDltXos	EX-YU		
135	Eva Sršen	Ljubi Ljubi Ljubi	https://www.youtube.com/watch?v=Gu0ly13hLV4	SLO		
136	Evanescence	Bring Me To Life	http://www.youtube.com/watch?v=frpfRwGv6KU	Foreign		
137	Evanescence	My Immortal	http://www.youtube.com/watch?v=Dv4s4KFptCE	Foreign		
138	Fantomi	Sretan Božić svakome	https://www.youtube.com/watch?v=TREFr8mwEOM	EX-YU		
139	Film	Ljubav je zakon	https://www.youtube.com/watch?v=WwzW0d5QzS0	EX-YU		
140	Foreigner	I Want To Know What Love Is	http://www.youtube.com/watch?v=p1r1DHgYm9Y	Foreign		
141	Frank Sinatra	My Way	http://www.youtube.com/watch?v=tAEek8nO11c	Foreign		
142	Frank Sinatra	Fly Me To The Moon	http://www.youtube.com/watch?v=VvjWl7lvrnk	Foreign		
143	Frozen	Let It Go (Idina Menzel)	http://www.youtube.com/watch?v=ifCAfAzOBJM	Foreign		
144	Frozen	For The First Time In Forever (Idina Menzel and Kristen Bell)	http://www.youtube.com/watch?v=rmQ_n0rJ7JE	Foreign		
145	Frozen 2	Into The Unknown	http://www.youtube.com/watch?v=9rnQFsbDa3o	Foreign		
146	Frozen 2	Show Yourself	http://www.youtube.com/watch?v=zGqZZQablfY	Foreign		
147	George Michael	Careless Whisper	http://www.youtube.com/watch?v=1TIeDbnzp9M	Foreign		
148	Giveon	HEARTBREAK ANNIVERSARY	http://www.youtube.com/watch?v=nRD8iFBRruw	Foreign		
149	Gloria Gaynor	I Will Survive	http://www.youtube.com/watch?v=FsUa8P-L2Ag	Foreign		
150	gnash	i hate u, i love u (feat. Olivia O'Brien)	http://www.youtube.com/watch?v=_Bti9H8Y24U	Foreign		
151	Goo Goo Dolls	Iris	http://www.youtube.com/watch?v=bi0hyLXusjo	Foreign		
152	Gotye and Kimbra	Somebody That I Used To Know	http://www.youtube.com/watch?v=toHUpXZRgTQ	Foreign		
153	Grace VanderWaal	I Don't Know My Name	http://www.youtube.com/watch?v=dlNbMMkldi0	Foreign		
154	Grupa 777	Ti si moj hit	https://www.youtube.com/watch?v=_0q-NjuW1qE	EX-YU		
155	Gu Gu	Mi mamo se fajn	https://www.youtube.com/watch?v=kk109KsnlFg	SLO		
156	Hajdi	Naš Kuža	https://www.youtube.com/watch?v=IyeY01F6ZQE	SLO		
157	Halo	Anita Ni Nikoli	https://www.youtube.com/watch?v=AapB1KdWsJs	SLO		
158	Halsey	Without Me	http://www.youtube.com/watch?v=_QC9OSgbmC8	Foreign		
159	Harry Styles	Sign Of The Times	http://www.youtube.com/watch?v=vAjEtYdqhTA	Foreign		
